Date,Forecast_Sales,Lower_Bound,Upper_Bound,Actual_sales,Error,APE_%
2016-12-31,82349.53905246923,72483.64425370593,92578.93187023525,96999.043,14649.503947530771,15.102730392433635
2017-01-31,44227.30749583311,38969.98334748436,50454.052778597674,43971.374,-255.9334958331092,-0.5820457096317008
2017-02-28,24651.635849514892,21668.22334095935,27859.139844647805,20301.1334,-4350.502449514894,-21.429850066966676
2017-03-31,54311.60263443732,47716.9169634612,61445.21242689856,58872.3528,4560.750165562684,7.74684541835176
2017-04-30,37439.621539848595,33317.77864779087,42492.63136514208,36521.5361,-918.0854398485972,-2.513819345754729
2017-05-31,47043.06935362694,41192.92057599411,53539.82030793712,44261.1102,-2781.9591536269363,-6.285335232343395
2017-06-30,46993.153324465165,41785.02149941183,53321.31674002175,52981.7257,5988.572375534837,11.303090445645557
2017-07-31,44231.083723583004,39091.90696936027,49862.50648383672,45264.416,1033.3322764169934,2.2828799479418747
2017-08-31,55864.58005654993,49517.22761823447,63006.82657528039,63120.888,7256.307943450069,11.495890145667895
2017-09-30,85979.29237448212,75900.60892475053,97423.14967708016,87866.652,1887.3596255178854,2.147981722938397
2017-10-31,75021.97077124425,65503.82034820424,84939.59772891377,77776.9232,2754.952428755758,3.5421206129117713
2017-11-30,116582.48812093106,103386.27069463386,131433.72195187517,118447.825,1865.336879068942,1.5748173333439783
2017-12-31,98853.9048190402,87885.55445224978,111119.26266452162,83829.3188,-15024.586019040202,-17.922829666415232
2018-01-31,60156.01416783816,53276.66028685922,67187.5616920506,,,
2018-02-28,49718.56028470799,44241.80654466014,56445.14866274789,,,
2018-03-31,64777.91744959021,56990.9385927618,73474.11969556201,,,
2018-04-30,48555.42634629874,43050.24834800247,55566.51121809974,,,
2018-05-31,54310.46442848452,48071.954631370274,61815.53350157968,,,
2018-06-30,51950.9040314595,45532.941749992126,59438.11220463738,,,
